"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","","2.6","","-6.1","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-02","2016","01","02","","2.6","","-6.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-03","2016","01","03","","2.9","","-5.3","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-04","2016","01","04","","4.1","","-2.6","","0.8","","17.2","","0.0","","0.8","","0.0","","0.8","","2","","","","<31",""
"2016-01-05","2016","01","05","","4.0","","-2.9","","0.6","","17.4","","0.0","","7.8","","1.0","","8.8","","0","","32","","43",""
"2016-01-06","2016","01","06","","6.7","","2.4","","4.6","","13.4","","0.0","","1.8","","0.0","","1.8","","0","","29","","37",""
"2016-01-07","2016","01","07","","6.1","","1.1","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-08","2016","01","08","","7.5","","0.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-09","2016","01","09","","6.3","","-2.3","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-10","2016","01","10","","7.0","","-3.0","","2.0","","16.0","","0.0","","0.0","T","0.0","","0.0","T","0","","32","","35",""
"2016-01-11","2016","01","11","","6.0","","-4.1","","1.0","","17.0","","0.0","","12.8","","0.0","","12.8","","0","","","","<31",""
"2016-01-12","2016","01","12","","7.7","","4.6","","6.2","","11.8","","0.0","","16.8","","0.0","","16.8","","0","","8","","33",""
"2016-01-13","2016","01","13","","8.8","","1.9","","5.4","","12.6","","0.0","","9.6","","0.0","","9.6","","0","","20","","33",""
"2016-01-14","2016","01","14","","8.4","","2.2","","5.3","","12.7","","0.0","","0.8","","0.0","","0.8","","0","","32","","33",""
"2016-01-15","2016","01","15","","5.6","","-2.0","","1.8","","16.2","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"2016-01-16","2016","01","16","","8.9","","4.8","","6.9","","11.1","","0.0","","12.8","","0.0","","12.8","","0","","9","","37",""
"2016-01-17","2016","01","17","","10.0","","6.8","","8.4","","9.6","","0.0","","7.0","","0.0","","7.0","","0","","12","","48",""
"2016-01-18","2016","01","18","","9.8","","6.1","","8.0","","10.0","","0.0","","4.6","","0.0","","4.6","","0","","6","","41",""
"2016-01-19","2016","01","19","","9.6","","3.4","","6.5","","11.5","","0.0","","0.8","","0.0","","0.8","","0","","13","","39",""
"2016-01-20","2016","01","20","","8.5","","0.3","","4.4","","13.6","","0.0","","2.0","","0.0","","2.0","","0","","10","","39",""
"2016-01-21","2016","01","21","","10.8","","5.6","","8.2","","9.8","","0.0","","25.4","","0.0","","25.4","","0","","7","","35",""
"2016-01-22","2016","01","22","","11.3","","7.0","","9.2","","8.8","","0.0","","14.0","","0.0","","14.0","","0","","16","","43",""
"2016-01-23","2016","01","23","","8.2","","4.1","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","0","","29","","32",""
"2016-01-24","2016","01","24","","9.4","","2.5","","6.0","","12.0","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"2016-01-25","2016","01","25","","9.6","","2.4","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-01-26","2016","01","26","","10.1","","7.2","","8.7","","9.3","","0.0","","","M","0.0","","","M","0","","8","","37",""
"2016-01-27","2016","01","27","","12.2","","9.2","","10.7","","7.3","","0.0","","17.2","","0.0","","17.2","","0","","11","","44",""
"2016-01-28","2016","01","28","","12.0","","4.2","","8.1","","9.9","","0.0","","12.8","","0.0","","12.8","","0","","15","","54",""
"2016-01-29","2016","01","29","","7.9","","4.2","","6.1","","11.9","","0.0","","8.2","","0.0","","8.2","","0","","20","","37",""
"2016-01-30","2016","01","30","","7.0","","2.1","","4.6","","13.4","","0.0","","1.8","","0.0","","1.8","","0","","16","","41",""
"2016-01-31","2016","01","31","","6.5","","2.8","","4.7","","13.3","","0.0","","9.0","","0.0","","9.0","","0","","15","","37",""
"2016-02-01","2016","02","01","","6.6","","2.1","","4.4","","13.6","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"2016-02-02","2016","02","02","","7.1","","2.9","","5.0","","13.0","","0.0","","1.6","","0.0","","1.6","","0","","","","<31",""
"2016-02-03","2016","02","03","","7.8","","4.1","","6.0","","12.0","","0.0","","12.2","","0.0","","12.2","","0","","9","","43",""
"2016-02-04","2016","02","04","","8.8","","5.3","","7.1","","10.9","","0.0","","4.4","","0.0","","4.4","","0","","19","","39",""
"2016-02-05","2016","02","05","","10.6","","6.2","","8.4","","9.6","","0.0","","8.0","","0.0","","8.0","","0","","28","","65",""
"2016-02-06","2016","02","06","","9.4","","2.4","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","0","","26","","33",""
"2016-02-07","2016","02","07","","7.7","","1.6","","4.7","","13.3","","0.0","","0.4","","0.0","","0.4","","0","","","","<31",""
"2016-02-08","2016","02","08","","9.1","","3.8","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","31","","33",""
"2016-02-09","2016","02","09","","13.3","","1.3","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-02-10","2016","02","10","","11.9","","3.8","","7.9","","10.1","","0.0","","5.0","","0.0","","5.0","","0","","12","","48",""
"2016-02-11","2016","02","11","","10.9","","4.4","","7.7","","10.3","","0.0","","8.8","","0.0","","8.8","","0","","4","","33",""
"2016-02-12","2016","02","12","","13.6","","8.0","","10.8","","7.2","","0.0","","15.4","","0.0","","15.4","","0","","19","","37",""
"2016-02-13","2016","02","13","","10.3","","5.1","","7.7","","10.3","","0.0","","13.2","","0.0","","13.2","","0","","16","","35",""
"2016-02-14","2016","02","14","","9.9","","6.4","","8.2","","9.8","","0.0","","8.6","","0.0","","8.6","","0","","","","<31",""
"2016-02-15","2016","02","15","","10.0","","6.8","","8.4","","9.6","","0.0","","23.4","","0.0","","23.4","","0","","8","","35",""
"2016-02-16","2016","02","16","","12.8","","2.9","","7.9","","10.1","","0.0","","0.0","","0.0","","0.0","","0","","11","","33",""
"2016-02-17","2016","02","17","","10.0","","6.4","","8.2","","9.8","","0.0","","7.8","","0.0","","7.8","","0","","27","","35",""
"2016-02-18","2016","02","18","","","M","6.6","E","","M","","M","","M","","M","","","","M","0","","","M","","M"
"2016-02-19","2016","02","19","","9.7","","6.5","","8.1","","9.9","","0.0","","7.2","","0.0","","7.2","","0","","20","","41",""
"2016-02-20","2016","02","20","","10.2","","4.4","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","15","","37",""
"2016-02-21","2016","02","21","","8.7","","0.6","","4.7","","13.3","","0.0","","1.0","","0.0","","1.0","","0","","13","","35",""
"2016-02-22","2016","02","22","","10.1","","1.7","","5.9","","12.1","","0.0","","0.0","T","0.0","","0.0","T","0","","19","","35",""
"2016-02-23","2016","02","23","","7.8","","-2.1","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-02-24","2016","02","24","","10.7","","3.5","","7.1","","10.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-02-25","2016","02","25","","10.8","","2.6","","6.7","","11.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2016-02-26","2016","02","26","","10.5","","3.3","","6.9","","11.1","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"2016-02-27","2016","02","27","","11.3","","7.3","","9.3","","8.7","","0.0","","0.8","","0.0","","0.8","","0","","","","<31",""
"2016-02-28","2016","02","28","","11.1","","7.1","","9.1","","8.9","","0.0","","8.0","","0.0","","8.0","","0","","14","","59",""
"2016-02-29","2016","02","29","","10.9","","5.2","","8.1","","9.9","","0.0","","2.2","","0.0","","2.2","","0","","18","","52",""
"2016-03-01","2016","03","01","","10.9","","6.1","","8.5","","9.5","","0.0","","12.2","","0.0","","12.2","","0","","15","","54",""
"2016-03-02","2016","03","02","","11.4","","6.7","","9.1","","8.9","","0.0","","6.6","","0.0","","6.6","","0","","6","","44",""
"2016-03-03","2016","03","03","","13.4","","7.2","","10.3","","7.7","","0.0","","5.4","","0.0","","5.4","","0","","18","","41",""
"2016-03-04","2016","03","04","","11.7","","8.3","","10.0","","8.0","","0.0","","10.4","","0.0","","10.4","","0","","11","","59",""
